model_name,model_size_mb (MB),GFLOPs (GFLOPs),Total_Params (count),First_Forward_Pass_Time (s),Training_Time (s),Inference_Time (s),CUDA_Time (ms),CPU_Time (ms),mse,mae
MobileNetV3,2.1971359252929688,23439648.0,548482,0.009847402572631836,,0.11736104726791383,25.364301048907212,150.28,1.223587442761809,0.5767367111345646
MobileNetV3,2.1971359252929688,23439648.0,548482,0.008939743041992188,,0.1186888966560364,24.10680126069386,151.808,1.223587442761809,0.5767367111345646
MobileNetV3,2.1971359252929688,23439648.0,548482,0.009256124496459961,,0.11874035811424258,23.917645467825718,148.637,1.223587442761809,0.5767367111345646
MobileNetV3,0.16710662841796875,4221640.0,20011,0.013713359832763672,,0.03928721523284913,10.141948847400592,84.045,11.072969964324738,2.141389084320403
MobileNetV3,0.16710662841796875,4221640.0,20011,0.007370948791503906,,0.006564391851425169,1.2904241212054621,49.226,11.072968327240007,2.1413888255779048
MobileNetV3,2.1971359252929688,23439648.0,548482,0.009307622909545898,,0.11838667249679564,24.79014570768545,150.513,1.2235874540782181,0.5767367081844038
MobileNetV3,0.16710662841796875,4221640.0,20011,0.011144638061523438,,0.039343570470809934,10.205003750450857,70.963,11.072970907011774,2.141389068365177
MobileNetV3,0.16710662841796875,4221640.0,20011,0.009366750717163086,,0.0072007465362548834,1.2010206917020563,46.038,11.072970084249695,2.141389043193717
MobileNetV3,2.1971359252929688,23439648.0,548482,0.009449243545532227,,0.015634170770645144,3.0350256936315505,45.676,1.2235874767405355,0.5767367118384903
MobileNetV3,0.16710662841796875,4221640.0,20011,0.009978771209716797,,0.008810207843780516,1.1244444122215707,40.238,11.072970084249695,2.141389043193717
MobileNetV3,2.1971359252929688,23439648.0,548482,0.00931859016418457,,0.01582784485816956,2.9683544927380843,59.028,1.2235874767405355,0.5767367118384903
MobileNetV3,2.1971359252929688,23439648.0,548482,0.00824737548828125,,0.015605582952499388,3.107579305629819,54.279,1.2235874767158266,0.5767367116852589
MobileNetV3,2.1971359252929688,23439648.0,548482,0.008553266525268555,,0.007299184799194336,3.61447839239868,57.499,1.223587494288287,0.5767367127476225
MobileNetV3,2.1971359252929688,23439648.0,548482,0.008016824722290039,,0.015028080224990848,3.26968757529624,46.672,1.2235874714904045,0.5767367105005644
MobileNetV3,2.1971359252929688,23439648.0,548482,0.008037805557250977,,0.014916841745376589,,,1.2235874705416965,0.5767367101733701
MobileNetV3,2.1971359252929688,23439648.0,548482,0.008003711700439453,,0.015046857357025146,,,1.2235874767158266,0.5767367116852589
